
"=CONCATENAR( ,23) ","Quintana Roo","27,762","301","273","2,181","8,739","5,891","2,541","241","7,595"
" 23 001 ","Cozumel","1,226","18","27","73","434","345","169","1","159"
" 23 002 ","Felipe Carrillo Puerto","1,422","33","18","163","610","348","135","5","110"
" 23 003 ","Isla Mujeres","406","9","21","47","136","62","24","1","106"
" 23 004 ","Oth�n P. Blanco","3,468","30","30","359","1,314","907","413","7","408"
" 23 005 ","Benito Ju�rez","12,813","119","29","908","4,517","2,711","1,366","159","3,004"
" 23 006 ","Jos� Mar�a Morelos","643","25","26","87","304","123","32","","46"
" 23 007 ","L�zaro C�rdenas","342","3","12","36","172","68","21","","30"
" 23 008 ","Solidaridad","5,298","14","22","186","550","935","198","64","3,329"
" 23 009 ","Tulum","765","16","36","72","280","160","85","2","114"
" 23 010 ","Bacalar","872","17","37","198","263","114","32","","211"
" 23 011 ","Puerto Morelos","507","17","15","52","159","118","66","2","78"
