"Nacimientos"
"Año de registro : 2018"
"Edad madre al nacimiento : De 15 a 19 años"
"Ent y mun de ocurrencia : Quintana Roo"
""
"Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Escolaridad del padre"
"","","Total","Sin escolaridad","Primaria incompleta","Primaria completa","Secundaria o equivalente","Preparatoria o equivalente","Profesional","Otra","No especificado",""
" ","Total","4,215","49","48","416","1,484","792","79","35","1,312"
"=CONCATENAR(0,02) ","Baja California","4","","","1","","","","","3"
"=CONCATENAR(0,04) ","Campeche","75","1","14","6","37","13","3","","1"
"=CONCATENAR(0,07) ","Chiapas","37","1","","5","13","10","","","8"
"=CONCATENAR(0,09) ","Ciudad de México","2","","","","","2","","",""
"=CONCATENAR( ,12) ","Guerrero","7","","1","","1","1","","4",""
"=CONCATENAR( ,14) ","Jalisco","2","","","","","1","","","1"
"=CONCATENAR( ,15) ","México","7","","","","2","1","1","","3"
"=CONCATENAR( ,20) ","Oaxaca","2","","1","","","1","","",""
"=CONCATENAR( ,21) ","Puebla","4","","","","","1","1","1","1"
"=CONCATENAR( ,23) ","Quintana Roo","3,921","45","30","387","1,377","729","67","28","1,258"
" 23 001 ","Cozumel","178","4","6","11","62","44","2","","49"
" 23 002 ","Felipe Carrillo Puerto","276","4","4","24","130","69","4","3","38"
" 23 003 ","Isla Mujeres","57","2","2","6","19","3","2","","23"
" 23 004 ","Othón P. Blanco","547","4","2","65","228","134","13","1","100"
" 23 005 ","Benito Juárez","1,713","21","3","183","655","265","27","16","543"
" 23 006 ","José María Morelos","116","3","3","14","61","29","2","","4"
" 23 007 ","Lázaro Cárdenas","73","","1","9","36","17","1","","9"
" 23 008 ","Solidaridad","619","3","3","29","71","94","8","8","403"
" 23 009 ","Tulum","103","3","2","10","47","18","1","","22"
" 23 010 ","Bacalar","167","","3","30","52","34","2","","46"
" 23 011 ","Puerto Morelos","72","1","1","6","16","22","5","","21"
"=CONCATENAR( ,24) ","San Luis Potosí","1","","","","","1","","",""
"=CONCATENAR( ,27) ","Tabasco","66","","2","5","18","17","5","2","17"
"=CONCATENAR( ,28) ","Tamaulipas","2","","","","1","1","","",""
"=CONCATENAR( ,30) ","Veracruz de Ignacio de la Llave","34","1","","4","11","7","1","","10"
"=CONCATENAR( ,31) ","Yucatán","43","1","","5","22","7","","","8"
"=CONCATENAR( ,34) ","Extranjero","8","","","3","2","","1","","2"

"FUENTE: INEGI. Estadísticas de natalidad."
