"Nacimientos"
"Año de registro : 2018"
"Edad madre al nacimiento : Menor de 15 años"
"Ent y mun de ocurrencia : Quintana Roo"
""
"Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Escolaridad del padre"
"","","Total","Sin escolaridad","Primaria incompleta","Primaria completa","Secundaria o equivalente","Preparatoria o equivalente","No especificado",""
" ","Total","111","2","4","13","26","6","60"
"=CONCATENAR(0,04) ","Campeche","2","","2","","","",""
"=CONCATENAR(0,07) ","Chiapas","2","1","","","1","",""
"=CONCATENAR( ,12) ","Guerrero","1","","","","1","",""
"=CONCATENAR( ,23) ","Quintana Roo","100","1","2","11","21","6","59"
" 23 001 ","Cozumel","5","","","","3","","2"
" 23 002 ","Felipe Carrillo Puerto","3","","","1","1","","1"
" 23 003 ","Isla Mujeres","1","","","","","","1"
" 23 004 ","Othón P. Blanco","18","","","2","3","3","10"
" 23 005 ","Benito Juárez","34","","","4","6","","24"
" 23 006 ","José María Morelos","5","","1","","2","","2"
" 23 007 ","Lázaro Cárdenas","1","","","","1","",""
" 23 008 ","Solidaridad","20","1","","2","2","2","13"
" 23 009 ","Tulum","3","","","1","","","2"
" 23 010 ","Bacalar","6","","","1","3","1","1"
" 23 011 ","Puerto Morelos","4","","1","","","","3"
"=CONCATENAR( ,30) ","Veracruz de Ignacio de la Llave","2","","","2","","",""
"=CONCATENAR( ,31) ","Yucatán","4","","","","3","","1"

"FUENTE: INEGI. Estadísticas de natalidad."
