ENTIDAD,MASCULINO,FEMENINO,TOTAL,,,,
,,,,,,,
Aguascalientes,"4,890","5,541","10,431",,,,
Baja California,"14,494","10,082","24,576",,,,
Baja California Sur,"6,659","6,724","13,383",,,,
Campeche,"16,699","17,196","33,895",,,,
Chiapas,"17,894","17,344","35,238",,,,
Chihuahua,"48,732","49,267","97,999",,,,
Coahuila,"25,863","26,381","52,244",,,,
Colima,"6,926","6,581","13,507",,,,
Distrito Federal,"65,620","64,246","129,866",,,,
Durango,"34,783","37,246","72,029",,,,
Estado de M‚xico,"201,814","208,093","409,907",,,,
Guanajuato,"101,071","113,912","214,983",,,,
Guerrero,"52,693","60,939","113,632",,,,
Hidalgo,"24,194","23,896","48,090",,,,
Jalisco,"148,431","156,170","304,601",,,,
Michoac n de Ocampo,"8,163","9,337","17,500",,,,
Morelos,"25,754","24,648","50,402",,,,
Nayarit,"3,585","3,905","7,490",,,,
Nuevo Le¢n,"47,888","46,539","94,427",,,,
Oaxaca,"32,970","31,748","64,718",,,,
Puebla,"103,287","108,569","211,856",,,,
Queretaro de Arteaga,"89,560","97,046","186,606",,,,
Quintana Roo,"16,921","16,795","33,716",,,,
San Luis Potos¡,"29,739","29,619","59,358",,,,
Sinaloa,"18,834","19,648","38,482",,,,
Sonora,"37,503","37,376","74,879",,,,
Tabasco,"26,379","25,950","52,329",,,,
Tamaulipas,"95,419","99,286","194,705",,,,
Tlaxcala,"14,556","15,198","29,754",,,,
Veracruz Ignacio de la Llave,"52,189","48,480","100,669",,,,
Yucat n,"12,493","12,150","24,643",,,,
Zacatecas,"19,198","20,805","40,003",,,,
TOTAL,"1,405,201","1,450,717","2,855,918",,,,
,,,,,,,
NOTA: Informaci¢n extraida del Sistema de Informaci¢n para de los Consejos Estatatales Contra las Adicciones (SICECA) con fecha de corte: 01 de Enero al 30 de Noviembre de 2018,,,,,,,
